เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"1782/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/23/05 00:00:00"											0							
"1779/2548"	"ฟ้องศาล"	1	0	0	0	0												0							
"1780/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/23/05 00:00:00"											0							
"1762/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/27/05 00:00:00"											0							
"1730/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/21/05 00:00:00"											0							
"1783/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/23/05 00:00:00"											0							
"1710/2548"	"ฟ้องศาล"	2	0	0	0	0	"07/01/05 00:00:00"											0							
"1761/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/27/05 00:00:00"											0							
"1804/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/27/05 00:00:00"											0							
"1805/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/04/05 00:00:00"											0							
"1832/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/04/05 00:00:00"											0							
"1856/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/04/05 00:00:00"											0							
"1860/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/05/05 00:00:00"											0							
"1861/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/05/05 00:00:00"											0							
"1862/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/04/05 00:00:00"											0							
"1870/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/04/05 00:00:00"											0							
"ว.1645/2548"	"ฟ้องศาล"	3	1	0	0	0	"07/01/05 00:00:00"											0							
"ว.1644/2548"	"ฟ้องศาล"	3	1	0	0	0	"07/01/05 00:00:00"											0							
"ว.1678/2548"	"ฟ้องศาล"	3	1	0	0	0	"07/04/05 00:00:00"											0							
"1707/2548"	"ฟ้องศาล"	0	0	0	0	0	"06/16/05 00:00:00"											0							
"1745/2548"	"ฟ้องศาล"	0	0	0	0	0	"06/27/05 00:00:00"											0							
"1747/2548"	"ฟ้องศาล"	0	2	0	0	0	"07/05/05 00:00:00"											0							
"1746/2548"	"ฟ้องศาล"	1	0	0	0	0	"07/05/05 00:00:00"											0							
" 1804/2548"	"ฟ้องศาล"			1	0	0	"06/29/05 00:00:00"		"07/29/05 00:00:00"									0							
"1904/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/05/05 00:00:00"											0							
"1806/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/05/05 00:00:00"											0							
"1844/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/05/05 00:00:00"											0							
"1858/2548"	"ฟ้องศาล"	3	0	3	0	0	"07/05/05 00:00:00"											0							
"1876/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/04/05 00:00:00"											0							
"1877/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/06/05 00:00:00"											0							
"1878/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/05/05 00:00:00"											0							
"1879/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/06/05 00:00:00"											0							
"1880/2548"	"ฟ้องศาล"	0	0	2	0	0	"07/06/05 00:00:00"											0							
"1881/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/05/05 00:00:00"											0							
"1882/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/04/05 00:00:00"											0							
"1906/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/08/05 00:00:00"											0							
"1907/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/06/05 00:00:00"											0							
"1908/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/07/05 00:00:00"											0							
"1938/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/07/05 00:00:00"											0							
"1939/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/07/05 00:00:00"											0							
"1940/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/07/05 00:00:00"											0							
"1941/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/07/05 00:00:00"											0							
"1949/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/07/05 00:00:00"											0							
"1952/2548"	"ฟ้องศาล"	0	1	1	0	0	"07/07/05 00:00:00"											0							
